n,size,misses
3,4,11
4,5,17
5,5,29
6,10,40
7,12,54
8,19,69
9,20,85
10,31,105
11,32,125
12,34,146
13,47,172
14,48,197
15,55,223
16,66,255
17,67,285
18,81,316
19,88,354
20,91,389
21,112,425
22,113,469
23,124,509
24,148,550
25,141,600
26,162,645
27,189,691
28,176,747
29,205,797
30,235,848
31,221,910
32,253,965
33,286,1021
34,271,1089
35,306,1149
36,342,1210
37,326,1284
38,364,1349
39,403,1415
40,386,1495
41,427,1565
42,469,1636
43,451,1722
44,495,1797
45,540,1873
46,521,1965
47,568,2045
48,616,2126
49,596,2224
50,646,2309
51,697,2395
52,676,2499
53,729,2589
54,783,2680
55,761,2790
56,817,2885
57,874,2981
58,851,3097
59,910,3197
60,970,3298
61,946,3420
62,1008,3525
63,1071,3631
64,1046,3759
65,1111,3869
66,1177,3980
67,1151,4114
68,1219,4229
69,1288,4345
70,1261,4485
71,1332,4605
72,1404,4726
73,1376,4872
74,1450,4997
75,1525,5123
76,1496,5275
77,1573,5405
78,1651,5536
79,1621,5694
80,1701,5829
81,1782,5965
82,1751,6129
83,1834,6269
84,1918,6410
85,1886,6580
86,1972,6725
87,2059,6871
88,2026,7047
89,2115,7197
90,2205,7348
91,2171,7530
92,2263,7685
93,2356,7841
94,2321,8029
95,2416,8189
96,2512,8350
97,2476,8544
98,2574,8709
99,2673,8875
100,2636,9075
101,2737,9245
102,2839,9416
103,2801,9622
104,2905,9797
105,3010,9973
106,2971,10185
107,3078,10365
108,3186,10546
109,3146,10764
110,3256,10949
111,3367,11135
112,3326,11359
113,3439,11549
114,3553,11740
115,3511,11970
116,3627,12165
117,3744,12361
118,3701,12597
119,3820,12797
120,3940,12998
121,3896,13240
122,4018,13445
123,4141,13651
124,4096,13899
125,4221,14109
126,4347,14320
127,4301,14574
128,4429,14789
129,4558,15005
130,4511,15265
131,4642,15485
132,4774,15706
133,4726,15972
134,4860,16197
135,4995,16423
136,4946,16695
137,5083,16925
138,5221,17156
139,5171,17434
140,5311,17669
141,5452,17905
142,5401,18189
143,5544,18429
144,5688,18670
145,5636,18960
146,5782,19205
147,5929,19451
148,5876,19747
149,6025,19997
150,6175,20248
151,6121,20550
152,6273,20805
153,6426,21061
154,6371,21369
155,6526,21629
156,6682,21890
157,6626,22204
158,6784,22469
159,6943,22735
160,6886,23055
161,7047,23325
162,7209,23596
163,7151,23922
164,7315,24197
165,7480,24473
166,7421,24805
167,7588,25085
168,7756,25366
169,7696,25704
170,7866,25989
171,8037,26275
172,7976,26619
173,8149,26909
174,8323,27200
175,8261,27550
176,8437,27845
177,8614,28141
178,8551,28497
179,8730,28797
180,8910,29098
181,8846,29460
182,9028,29765
183,9211,30071
184,9146,30439
185,9331,30749
186,9517,31060
187,9451,31434
188,9639,31749
189,9828,32065
190,9761,32445
191,9952,32765
192,10144,33086
193,10076,33472
194,10270,33797
195,10465,34123
196,10396,34515
197,10593,34845
198,10791,35176
199,10721,35574
200,10921,35909
201,11122,36245
